currency,user_id,id,amount_native,amount_usd,requested_at,finished_at,yearweek,yearmonth,time_to_complete,possible_error,conversion_rate,requested_day_of_week
BTC,44017161,117200,17.44995048,1234.82563,2020-11-24 22:59:35,2020-01-25 14:00:02,2020-47,2020-11,-7304.9925,True,70.76384723356534,Tuesday
MATIC,46740482,117197,17.45078559,546.6747434,2020-01-24 22:33:10,2020-01-25 02:00:20,2020-03,2020-01,3.452777777777778,False,31.32665521449456,Friday
PEPE,46489105,117194,17.4466122,556.8105408,2020-01-24 22:12:18,2020-01-25 02:00:19,2020-03,2020-01,3.8002777777777776,False,31.915109616524862,Friday
PEPE,46117080,117193,17.44669315,1045.785866,2020-01-24 22:03:20,2020-01-25 02:00:19,2020-03,2020-01,3.9497222222222224,False,59.941781345538246,Friday
AVAX,47626266,117191,17.45416988,653.6610576,2020-01-24 22:01:30,2020-01-25 02:00:41,2020-03,2020-01,3.986388888888889,False,37.45013725052618,Friday
MATIC,45854117,117185,17.62142289,982.7718733,2020-01-24 21:52:30,2020-01-25 02:00:20,2020-03,2020-01,4.130555555555556,False,55.77142546517706,Friday
MATIC,47217956,117183,19.72474778,615.2165742,2020-01-24 21:48:10,2020-01-25 02:00:25,2020-03,2020-01,4.2041666666666675,False,31.190085726916195,Friday
PEPE,47361506,117181,17.44664664,764.8662853,2020-01-24 21:46:34,2020-01-25 02:00:19,2020-03,2020-01,4.229166666666667,False,43.84030358856399,Friday
SHIB,43000639,117180,17.79614012,557.7447398,2020-01-24 21:41:39,2020-01-25 02:00:23,2020-03,2020-01,4.312222222222223,False,31.340770304071984,Friday
AVAX,47778615,117176,17.45834608,718.6481713,2020-01-24 21:29:15,2020-01-25 02:00:40,2020-03,2020-01,4.523611111111111,False,41.163588349487,Friday
UNI,43623849,117172,17.70676147,558.5324416,2020-01-24 21:21:22,2020-01-25 02:00:37,2020-03,2020-01,4.654166666666667,False,31.543455450411056,Friday
PEPE,43623849,117170,17.44668563,1000.343285,2020-01-24 21:19:43,2020-01-25 02:00:19,2020-03,2020-01,4.676666666666667,False,57.337153096854415,Friday
UNI,43410316,117168,20.44259194,795.4891762,2020-01-24 21:15:54,2020-01-25 02:00:37,2020-03,2020-01,4.745277777777778,False,38.91332266156852,Friday
BTC,43623849,117165,17.44670945,557.0589227,2020-01-24 21:09:51,2020-01-25 14:00:02,2020-03,2020-01,16.83638888888889,False,31.929168322339432,Friday
SHIB,47626266,117161,17.48174764,538.1860298,2020-01-24 21:00:55,2020-01-25 02:00:23,2020-03,2020-01,4.9911111111111115,False,30.785596548057715,Friday
